timestamp,case,tier,sample,step,elapsed_sec,status,note
2025-11-13 07:14:34+0800,1,a,1a,bootstrap_023,13.556,ok,
2025-11-13 07:14:49+0800,1,a,1a,bootstrap_024,14.964,ok,
2025-11-13 07:15:04+0800,1,a,1a,bootstrap_025,15.003,ok,
2025-11-13 07:15:18+0800,1,a,1a,bootstrap_026,14.933,ok,
2025-11-13 07:15:33+0800,1,a,1a,bootstrap_027,14.237,ok,
2025-11-13 07:15:46+0800,1,a,1a,bootstrap_028,13.526,ok,
2025-11-13 07:16:00+0800,1,a,1a,bootstrap_029,14.261,ok,
2025-11-13 07:16:15+0800,1,a,1a,bootstrap_030,14.412,ok,
2025-11-13 07:16:15+0800,1,a,1a,progress,NA,ok,bootstrap 30/200
2025-11-13 07:16:30+0800,1,a,1a,bootstrap_031,14.868,ok,
2025-11-13 07:16:44+0800,1,a,1a,bootstrap_032,14.167,ok,
